song_id,artist,title,year,tag
229,Nefertitti Avani,Love A God,2021,rb
230,Witch Prophet,Ghideon,2020,rb
231,Justine Skye,Hypnotized,2021,rb
232,Mavis Staples,Who Told You That,2017,rb
233,Brendan Morris,Gone,2015,rb
234,Mayorkun,Oshepete,2018,rb
235,Cherokee Monique,That Thing,2017,rb
236,EshcoNinco,Take Control Ride On Me Riddim,2015,rb
237,Tinashe,Boss Ryan Hemsworth Remix,2018,rb
238,Tshego,Together,2019,rb
239,Foreighn,Sinned,2019,rb
240,Jamila Woods,Eve Interlude,2017,rb
241,Richard Jansen,If Only You Knew,2018,rb
242,Eric Bellinger,Sometimes,2016,rb
243,Hish,Give Me a Chance,2019,rb
244,Wendy Moten,How Will I Know The Voice Performance,2021,rb
245,Syl Johnson,Sorry Bout Dat,1968,rb
246,Dominique Gorley,Losing,2021,rb
247,Morgan James,Jenny,2017,rb
248,Stefanie Heinzmann,You Made Me See,2012,rb
249,Nicotine,Bantu Knots and Boudain,2017,rb
250,BJ the Chicago Kid,Champagne,2019,rb
251,Rekswav,New Home,2019,rb
252,Faye Meana,Dont Pretend,2017,rb
253,Daniel Jacob Cox,Now Vs Then,2020,rb
254,SLAE,Drug,2019,rb
255,Johnny Gill,Feels So Much Better,1990,rb
256,Dom the Composer,Man on the Moon,2019,rb
257,Mason Monroe,Everything I Give,2017,rb
258,Gospel Hydration,One Love,2018,rb
259,Sonta,Medicine Remix,2018,rb
260,Blood Orange,Minetta Creek,2018,rb
261,Drew Kennett,Yin or Yang,2018,rb
262,Son Little,Letter Bound,2017,rb
263,BKTHERULA,Coma,2017,rb
264,Champaign,Capture the Moon,1984,rb
265,Girlish,Blur,2019,rb
266,Whitney Houston,Unashamed,2002,rb
267,Micah Kesselring,Eliza Evilsiza,2021,rb
268,Keke Palmer,Jealous,2016,rb
269,SWV,Im So In Love,1996,rb
270,Boyz II Men,I Do,2000,rb
271,Jodeci,Forever My Lady K-Ci’s Drum,1991,rb
272,Audrey Sherman,Dried Petals,2021,rb
273,Kofi the kyd,Midway,2019,rb
274,GALLO,Time,2020,rb
275,Alex J. Price,Good Firends,2017,rb
276,Tellemtee,Girl Code,2021,rb
277,LilBoyzie,Take a minute,2019,rb
278,Wilbert Harrison,This Will Have to Do Until the Real Thing Comes Along,1970,rb
279,JaMyron Minor,Escape,2021,rb
280,The Supremes & The Four Tops,Together We Can Make Such Sweet Music,1970,rb
281,Goldie love,Family,1992,rb
282,James Cook,I Bet You,2015,rb
283,Jonn Hart,Whistle,2018,rb
284,Childish Gambino,Human Sacrifice,2018,rb
285,Cosmoofficially,The Stages,2021,rb
286,New Edition,Re-Write the Memories,2004,rb
287,Olivia King,20 Something,2021,rb
288,Chastity (Chazz),Better,2021,rb
289,JoJo,X 1 Thing Wrong,2020,rb
290,Tory Lanez,One Night Lover,2010,rb
291,Mack Keane,Numb,2019,rb
292,Dez Wave,L.M.O.D.,2019,rb
293,KNNDYGRN,Stay With Me,2018,rb
294,112,If I Hit,2005,rb
295,Leon Hlabathi,Patience,2020,rb
296,Jeangu Macrooy,Antidote,2017,rb
297,Nivea,Away,2019,rb
298,Vaishalini,So You Need Me Now?,2021,rb
299,Nappy Camper,Every Time I Look Behind,2017,rb
300,Kyle Dion,Hold On to Me,2016,rb
301,Berry Gum,Retrograde,2019,rb
302,Joey Diamond,Philosophies,2019,rb
303,Isyss,Oh No She Didnt,2002,rb
304,Martha Reeves & The Vandellas,Dancing Slow,1964,rb
305,Lenis,Until The Day Of,2017,rb
306,Eddie Floyd,I Wanna Do Things For You,1973,rb
307,Snoozegod,Better than the real thing,2019,rb
308,Casimir Cadence,Last Thing I Do,2021,rb
309,TWONIEB,DONT TELL ME,2021,rb
310,Janet Jackson,Love Will Never Do Without You Work It Out 7,1990,rb
311,Amy Winehouse,Cherry Live At Shepherd’s Bush Empire London / 2007,2007,rb
312,FRVRFRIDAY,Aloevera,2017,rb
313,IDRYS,Nani,2017,rb
314,Yolanda Adams,A Song of Faith,2001,rb
315,LoNEly iS hUNteR,Medicine.,2019,rb
316,Sunnyland Slim,Im Prison Bound,1961,rb
317,Max Wonders,Rocket Ship,2016,rb
318,Chrisstopher,NTS 95,2016,rb
319,Mary J. Blige,Power Back,2014,rb
320,Trey Songz,Company,2015,rb
321,Chuck Brown And The Soul Searchers,Bustin Loose,1979,rb
322,The Jackson 5,After You Leave Girl,2012,rb
323,Cornell Campbell,The Judgement Come,1978,rb
324,Angie Stone,Forget About Me,2015,rb
325,Victoria Mont,All You Need,2018,rb
326,Dream Coterie,Love Fire Desire,2020,rb
327,Slave,Watching You,1980,rb
328,Jalisa,Foolish,2018,rb
329,Marmar Oso,Keep It Real,2020,rb
330,Sir Woman,Get What You Want,2022,rb
331,Rachel Lehcar,Im a female producer/singer. I need advice on this Drake/Jhene Aiko style track...,2016,rb
332,The Satintones,Going To the Hop,1959,rb
333,David Porter,I’m Afraid The Masquerade is Over,1971,rb
334,The Cheques,Cool My Desire,1969,rb
335,O.V. Wright,The Time We Have,1977,rb
336,Kill_Swxtch,Fall In Love With Imperfections interlude,2019,rb
337,ENI (IAMENI),Running Back,2017,rb
338,Peter Tosh,Bush Doctor,1978,rb
339,Deadvoss,Waste,2019,rb
340,Jay Clique,Not A Love Song Prelude,2020,rb
341,Sellous,Down Bad,2019,rb
342,Yexwxrld,THE WORLD IS YOURS,2020,rb
343,svrite,The Girl Named Grey,2018,rb
344,Doug MacLeod,The Addition to Blues,2008,rb
345,LoNEly iS hUNteR,Bad things,2019,rb
346,Some.Unique.Individual,FYRE,2021,rb
347,Ginuwine,Kidnapped,2011,rb
348,Safa Liron,Sun,2019,rb
349,Latelatekuro,Fuk iz goin on ?,2017,rb
350,Nyah Grace,And I Love Him,2020,rb
351,The Weeknd,Serve This Royalty,2019,rb
352,Lucious Lark,8PM in Pretoria,2020,rb
353,Terry Callier,Do You Finally Need A Friend,1972,rb
354,Mayila,Me  Me,2019,rb
355,S.O.L. (Sounds Of Life),Through The Storm,1995,rb
356,Slim of 112,Head In the Clouds,2016,rb
357,Xscape,Christmas Without You,1996,rb
358,Joshua Morata,Cities on Fire,2019,rb
359,Lapalux,Movement I II  III,2014,rb
360,ORLI ANROW,Euphoria,2021,rb
361,JD Moon,Come Up,2020,rb
362,Taveeta,Wake Up,2017,rb
363,BluPrint (Girl Group),Go Don’t Leave,2021,rb
364,Mali Music,Heavy Love,2014,rb
365,Carti Bankx,Distance,2017,rb
366,Van Morrison,Wild Honey,1980,rb
367,dvsn,Do It Well,2016,rb
368,OMEHGA,No More Remix,2017,rb
369,CammWess & John Legend,Rocket Man,2020,rb
370,GAIKA,Crown  Key,2018,rb
371,Patti LaBelle,Shoe Was On The Other Foot,1997,rb
372,Dro Kenji,FALLING,2020,rb
